央视频道,#genre#
湖南卫视,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003873458.m3u8
浙江卫视,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003873464.m3u8
江苏卫视,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003873461.m3u8
东方卫视,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003873462.m3u8
北京卫视,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003870776.m3u8
广东卫视,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003873459.m3u8
深圳卫视,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003873474.m3u8
东南卫视,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003873473.m3u8
山东卫视,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003873467.m3u8
安徽卫视,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003873469.m3u8
天津卫视,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003873466.m3u8
湖北卫视,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003873465.m3u8
辽宁卫视,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003873468.m3u8
江西卫视,http://home.kuaidi521.com:35455/bptv/10000100000000050000000004796511.m3u8
河北卫视,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003873460.m3u8
河北卫视,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003887382.m3u8
黑龙江卫视,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003873470.m3u8
重庆卫视,http://home.kuaidi521.com:35455/bptv/10000100000000050000000004796458.m3u8
贵州卫视,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003873471.m3u8
吉林卫视,http://home.kuaidi521.com:35455/bptv/10000100000000050000000004972569.m3u8
四川卫视,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003887274.m3u8
海南卫视,http://home.kuaidi521.com:35455/bptv/10000100000000050000000004796877.m3u8
河南卫视,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003887270.m3u8
广西卫视,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003887394.m3u8
山西卫视,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003887413.m3u8
云南卫视,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003887453.m3u8
陕西卫视,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003887404.m3u8
内蒙古卫视,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003887427.m3u8
甘肃卫视,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003887450.m3u8
宁夏卫视,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003887433.m3u8
青海卫视,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003887430.m3u8
新疆卫视,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003887448.m3u8
西藏卫视,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003887434.m3u8
三沙卫视,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003887452.m3u8
兵团卫视,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003887456.m3u8
厦门卫视,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003887454.m3u8
数字频道,#genre#
BTV-重温经典,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003887494.m3u8
重温经典,https://migu1.188766.xyz/?migutoken=47e1f27c713e7d8ce93171e55017fdc4&id=%E9%87%8D%E6%B8%A9%E7%BB%8F%E5%85%B8
重温经典,https://gdcucc.v1.mk/gdcucc/cwjd.m3u8
CHC家庭影院,https://migu1.188766.xyz/?migutoken=ee63044606955784956af5849b6eb4f6&id=CHC%E5%AE%B6%E5%BA%AD%E5%BD%B1%E9%99%A2
CHC动作电影,https://migu1.188766.xyz/?migutoken=0310607a892a8daa17634593943c0b98&id=CHC%E5%8A%A8%E4%BD%9C%E7%94%B5%E5%BD%B1
CHC影迷电影,https://migu1.188766.xyz/?migutoken=6e498d5ef7c258e73eb4f07ee03a214a&id=CHC%E5%BD%B1%E8%BF%B7%E7%94%B5%E5%BD%B1&type=yy
东方影视,https://migu1.188766.xyz/?migutoken=eb7f08d1a082cf261c5ed41f86ee191f&id=%E4%B8%8A%E8%A7%86%E4%B8%9C%E6%96%B9%E5%BD%B1%E8%A7%86&type=yy
凤凰中文,http://php.jdshipin.com:8880/smt.php?id=phoenixtv_hd
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰中文,https://smart.pendy.dpdns.org/Smart.php?id=phoenixtv_hd
凤凰资讯,http://php.jdshipin.com:8880/smt.php?id=phoenixinfo_hd
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰香港,http://php.jdshipin.com:8880/smt.php?id=hkphoenix_twn
凤凰香港,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk
凤凰香港,https://smart.pendy.dpdns.org/Smart.php?id=hkphoenix_twn
卡酷少儿,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003904597.m3u8
金鹰卡通,http://home.kuaidi521.com:35455/bptv/10000100000000050000000004796942.m3u8
嘉佳卡通,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003887459.m3u8
萌宠TV,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003887495.m3u8
淘BABY,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003887496.m3u8
淘剧场,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003887497.m3u8
淘电影,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003887498.m3u8
淘娱乐,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003887499.m3u8
北京体育休闲,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003870779.m3u8
北京新闻,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003870780.m3u8
NBA经典,https://migu1.188766.xyz/?migutoken=e6520ab005c1794edbbdd07a3f387259&id=NBA%E7%BB%8F%E5%85%B8&type=yy
咪咕24小时体育台,https://migu1.188766.xyz/?migutoken=cc1b8dd1483631cab347e647e0a722e3&id=%E5%92%AA%E5%92%9524%E5%B0%8F%E6%97%B6%E4%BD%93%E8%82%B2%E5%8F%B0&type=yy
CETV-1,https://migu1.188766.xyz/?migutoken=4722edfbe1a2a16f3fa6044b1460b66c&id=CETV1&type=yy
CETV-2,https://migu1.188766.xyz/?migutoken=06fb93de4afc243a65f2d378d8f16d1d&id=CETV2&type=yy
CETV-4,https://migu1.188766.xyz/?migutoken=942fb655bebf1c2906b69fba5a3eaa6d&id=CETV4&type=yy
CGTN英语,https://0472.org/hls/cgtn.m3u8
CGTN记录,https://0472.org/hls/cgtnd.m3u8
CGTN俄语,https://0472.org/hls/cgtne.m3u8
CGTN法语,https://0472.org/hls/cgtnf.m3u8
CGTN西语,https://0472.org/hls/cgtnx.m3u8
CGTN阿语,https://0472.org/hls/cgtna.m3u8
4K频道,#genre#
北京IPTV4K,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003887500.m3u8
北京卫视4K,https://migu1.188766.xyz/?migutoken=eaa1cc608dc3a2069b3254472737a6e3&id=%E5%8C%97%E4%BA%AC%E5%8D%AB%E8%A7%864K%E8%B6%85%E9%AB%98%E6%B8%85&type=bj
咪咕体育-1,http://home.kuaidi521.com:35455/itv/3000000010000005180.m3u8
咪咕国际4K-2,http://home.kuaidi521.com:35455/itv/3000000010000015686.m3u8
Love Nature 4K,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
Loupe 4K,https://d2dw21aq0j0l5c.cloudfront.net/playlist_3840x2160.m3u8
Fashion 4K,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
北京纪实科教8K,https://gdcucc.v1.mk/gdcucc/brtv8k.m3u8
北京体育休闲-4K-HLG,http://home.kuaidi521.com:35455/bptv/10000100000000050000000004270524.m3u8
北京体育休闲-4K,http://home.kuaidi521.com:35455/bptv/10000100000000050000000004270525.m3u8
虎牙影视,#genre#
电影_星爷,http://home.kuaidi521.com:35455/huya/11342412
电影_英叔,http://home.kuaidi521.com:35455/huya/11342421
电影_发哥,http://home.kuaidi521.com:35455/huya/11342387
电影_成龙,http://home.kuaidi521.com:35455/huya/11342386
电影_王晶,http://home.kuaidi521.com:35455/huya/11602058
电影_沈腾,http://home.kuaidi521.com:35455/huya/11601968
电影_黄渤,http://home.kuaidi521.com:35455/huya/11352876
电影_强森,http://home.kuaidi521.com:35455/huya/21059581
电影_漫威,http://home.kuaidi521.com:35455/huya/11602034
电影_宇宙,http://home.kuaidi521.com:35455/huya/11342428
电影_怪兽,http://home.kuaidi521.com:35455/huya/21059577
电影_贺岁,http://home.kuaidi521.com:35455/huya/11601971
电影_玄幻,http://home.kuaidi521.com:35455/huya/11342414
电影_谍战,http://home.kuaidi521.com:35455/huya/21059585
电影_战争,http://home.kuaidi521.com:35455/huya/21059592
电影_喜剧,http://home.kuaidi521.com:35455/huya/11352877
电影_港片,http://home.kuaidi521.com:35455/huya/11602043
电影_国产,http://home.kuaidi521.com:35455/huya/11352973
电影_周星星,http://home.kuaidi521.com:35455/huya/11336587
电影_李连杰,http://home.kuaidi521.com:35455/huya/11342390
电影_洪金宝,http://home.kuaidi521.com:35455/huya/11279251
电影_梁家辉,http://home.kuaidi521.com:35455/huya/11342429
电影_许冠英,http://home.kuaidi521.com:35455/huya/11601972
电影_刘德华,http://home.kuaidi521.com:35455/huya/11342424
电影_斯坦森,http://home.kuaidi521.com:35455/huya/21059588
电影_蜘蛛侠,http://home.kuaidi521.com:35455/huya/21059599
电影_贺岁片,http://home.kuaidi521.com:35455/huya/11601986
电影_功夫片,http://home.kuaidi521.com:35455/huya/11352941
电影_黑帮片,http://home.kuaidi521.com:35455/huya/11336719
电影_丧尸片,http://home.kuaidi521.com:35455/huya/21059578
电影_灾难片,http://home.kuaidi521.com:35455/huya/11602075
电影_谍战片,http://home.kuaidi521.com:35455/huya/21059587
电影_战争片,http://home.kuaidi521.com:35455/huya/21059574
电影_犯罪片,http://home.kuaidi521.com:35455/huya/11352974
电影_古装片,http://home.kuaidi521.com:35455/huya/11336590
电影_高分动作,http://home.kuaidi521.com:35455/huya/11352884
电影_动作电影,http://home.kuaidi521.com:35455/huya/11602077
电影_搞笑喜剧,http://home.kuaidi521.com:35455/huya/11342423
电影_喜剧专场,http://home.kuaidi521.com:35455/huya/11602044
电影_欢笑影院,http://home.kuaidi521.com:35455/huya/11352894
电影_不挤影院,http://home.kuaidi521.com:35455/huya/11352897
电影_国产悬疑,http://home.kuaidi521.com:35455/huya/11342395
电影_快意江湖,http://home.kuaidi521.com:35455/huya/11342435
电影_黑帮斗争,http://home.kuaidi521.com:35455/huya/11342419
电影_古墓系列,http://home.kuaidi521.com:35455/huya/11352913
电影_嫣然影厅,http://home.kuaidi521.com:35455/huya/11601977
电影_女神系列,http://home.kuaidi521.com:35455/huya/11336571
电影_经典女神,http://home.kuaidi521.com:35455/huya/11352909
电影_经典港片,http://home.kuaidi521.com:35455/huya/11352965
电影_喜乐影院,http://home.kuaidi521.com:35455/huya/21059580
电影_蘑菇影厅,http://home.kuaidi521.com:35455/huya/11601981
电影_搞笑恐怖,http://home.kuaidi521.com:35455/huya/11601960
电影_死神来了,http://home.kuaidi521.com:35455/huya/11352903
电影_变形金刚,http://home.kuaidi521.com:35455/huya/21059596
电影_怪兽系列,http://home.kuaidi521.com:35455/huya/21059554
搞笑_陈翔六点半,http://home.kuaidi521.com:35455/huya/11274154
测试频道,#genre#
CCTV1,http://39.137.75.234/000000001000/1000000001000018602/index.m3u8?channel-id=ystenlive&Contentid=1000000001000018602&livemode=1&stbId=no
CCTV4,http://39.137.75.234/000000001000/1000000005000265004/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265004&livemode=1&stbId=no
CCTV5+,http://39.137.75.234/000000001000/reallive-cctv5plus/index.m3u8?channel-id=ystenlive&Contentid=reallive-cctv5plus&livemode=1&stbId=no
CCTV7,http://39.137.75.234/000000001000/1000000005000265007/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265007&livemode=1&stbId=no
CCTV9,http://39.137.75.234/000000001000/1000000005000265009/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265009&livemode=1&stbId=no
CCTV12,http://39.137.75.234/000000001000/1000000005000265012/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265012&livemode=1&stbId=no
CCTV14,http://39.137.75.234/000000001000/1000000001000021349/index.m3u8?channel-id=ystenlive&Contentid=1000000001000021349&livemode=1&stbId=no
CCTV15,http://39.137.75.234/000000001000/1000000005000265014/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265014&livemode=1&stbId=no
CCTV17,http://39.137.75.234/000000001000/1000000005000056836/index.m3u8?channel-id=ystenlive&Contentid=1000000005000056836&livemode=1&stbId=no
湖南卫视,http://39.137.75.234/000000001000/1000000001000009115/index.m3u8?channel-id=ystenlive&Contentid=1000000001000009115&livemode=1&stbId=no
安徽卫视,http://39.137.75.234/000000001000/1000000001000020780/index.m3u8?channel-id=ystenlive&Contentid=1000000001000020780&livemode=1&stbId=no
甘肃卫视,http://39.137.75.234/000000001000/1000000002000017827/index.m3u8?channel-id=ystenlive&Contentid=1000000002000017827&livemode=1&stbId=no
贵州卫视,http://39.137.75.234/000000001000/1000000002000003169/index.m3u8?channel-id=ystenlive&Contentid=1000000002000003169&livemode=1&stbId=no
河北卫视,http://39.137.75.234/000000001000/1000000002000017118/index.m3u8?channel-id=ystenlive&Contentid=1000000002000017118&livemode=1&stbId=no
内蒙古卫视,http://39.137.75.234/000000001000/1000000002000014080/index.m3u8?channel-id=ystenlive&Contentid=1000000002000014080&livemode=1&stbId=no
山西卫视,http://39.137.75.234/000000001000/1000000002000021220/index.m3u8?channel-id=ystenlive&Contentid=1000000002000021220&livemode=1&stbId=no
深圳卫视,http://39.137.75.234/000000001000/1000000005000265028/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265028&livemode=1&stbId=no
四川卫视,http://39.137.75.234/000000001000/1000000002000016825/index.m3u8?channel-id=ystenlive&Contentid=1000000002000016825&livemode=1&stbId=no
厦门卫视,http://39.137.75.234/000000001000/1000000005000266006/index.m3u8?channel-id=ystenlive&Contentid=1000000005000266006&livemode=1&stbId=no
重庆卫视,http://39.137.75.234/000000001000/1000000002000018937/index.m3u8?channel-id=ystenlive&Contentid=1000000002000018937&livemode=1&stbId=no
宁夏卫视,http://39.137.75.234/000000001000/1000000002000031451/index.m3u8?channel-id=ystenlive&Contentid=1000000002000031451&livemode=1&stbId=no
青海卫视,http://39.137.75.234/000000001000/1000000002000013359/index.m3u8?channel-id=ystenlive&Contentid=1000000002000013359&livemode=1&stbId=no
NewTV超级综艺,http://39.137.75.234/000000001000/1000000004000023658/index.m3u8?channel-id=ystenlive&Contentid=1000000004000023658&livemode=1&stbId=no
湖南金鹰卡通,http://39.137.75.234/000000001000/1000000002000016601/index.m3u8?channel-id=ystenlive&Contentid=1000000002000016601&livemode=1&stbId=no
咪视通,#genre#
咪视通-1,http://home.kuaidi521.com:35455/itv/3000000001000005308.m3u8
咪视通-2,http://home.kuaidi521.com:35455/itv/3000000001000005969.m3u8
咪视通-3,http://home.kuaidi521.com:35455/itv/3000000001000007218.m3u8
咪视通-4,http://home.kuaidi521.com:35455/itv/3000000001000008001.m3u8
咪视通-5,http://home.kuaidi521.com:35455/itv/3000000001000008176.m3u8
咪视通-6,http://home.kuaidi521.com:35455/itv/3000000001000008379.m3u8
咪视通-7,http://home.kuaidi521.com:35455/itv/3000000001000010129.m3u8
咪视通-8,http://home.kuaidi521.com:35455/itv/3000000001000010948.m3u8
咪视通-9,http://home.kuaidi521.com:35455/itv/3000000001000028638.m3u8
咪视通-10,http://home.kuaidi521.com:35455/itv/3000000001000031494.m3u8
咪视通-11,http://home.kuaidi521.com:35455/itv/3000000010000005837.m3u8
咪视通-12,http://home.kuaidi521.com:35455/itv/3000000020000011518.m3u8
咪视通-13,http://home.kuaidi521.com:35455/itv/3000000020000011519.m3u8
咪视通-14,http://home.kuaidi521.com:35455/itv/3000000020000011520.m3u8
咪视通-15,http://home.kuaidi521.com:35455/itv/3000000020000011521.m3u8
咪视通-16,http://home.kuaidi521.com:35455/itv/3000000020000011522.m3u8
咪视通-17,http://home.kuaidi521.com:35455/itv/3000000020000011523.m3u8
咪视通-18,http://home.kuaidi521.com:35455/itv/3000000020000011524.m3u8
咪视通-19,http://home.kuaidi521.com:35455/itv/3000000020000011525.m3u8
咪视通-20,http://home.kuaidi521.com:35455/itv/3000000020000011528.m3u8
咪视通-21,http://home.kuaidi521.com:35455/itv/3000000020000011529.m3u8
咪视通-22,http://home.kuaidi521.com:35455/itv/3000000020000011530.m3u8
咪视通-23,http://home.kuaidi521.com:35455/itv/3000000020000011531.m3u8
咪视通-24,http://home.kuaidi521.com:35455/itv/3000000010000000097.m3u8
咪视通-25,http://home.kuaidi521.com:35455/itv/3000000010000002019.m3u8
咪视通-26,http://home.kuaidi521.com:35455/itv/3000000010000002809.m3u8
咪视通-27,http://home.kuaidi521.com:35455/itv/3000000010000003915.m3u8
咪视通-28,http://home.kuaidi521.com:35455/itv/3000000010000004193.m3u8
咪视通-29,http://home.kuaidi521.com:35455/itv/3000000010000006077.m3u8
咪视通-30,http://home.kuaidi521.com:35455/itv/3000000010000006658.m3u8
咪视通-31,http://home.kuaidi521.com:35455/itv/3000000010000009788.m3u8
咪视通-32,http://home.kuaidi521.com:35455/itv/3000000010000010833.m3u8
咪视通-33,http://home.kuaidi521.com:35455/itv/3000000010000011297.m3u8
咪视通-34,http://home.kuaidi521.com:35455/itv/3000000010000011518.m3u8
咪视通-35,http://home.kuaidi521.com:35455/itv/3000000010000012558.m3u8
咪视通-36,http://home.kuaidi521.com:35455/itv/3000000010000012616.m3u8
咪视通-37,http://home.kuaidi521.com:35455/itv/3000000010000015470.m3u8
咪视通-38,http://home.kuaidi521.com:35455/itv/3000000010000015560.m3u8
咪视通-39,http://home.kuaidi521.com:35455/itv/3000000010000017678.m3u8
咪视通-40,http://home.kuaidi521.com:35455/itv/3000000010000019839.m3u8
咪视通-41,http://home.kuaidi521.com:35455/itv/3000000010000021904.m3u8
咪视通-42,http://home.kuaidi521.com:35455/itv/3000000010000023434.m3u8
咪视通-43,http://home.kuaidi521.com:35455/itv/3000000010000025380.m3u8
咪视通-44,http://home.kuaidi521.com:35455/itv/3000000010000027691.m3u8
咪视通-45,http://home.kuaidi521.com:35455/itv/3000000010000031669.m3u8
咪咕体育,#genre#
[西甲]5月14日01:00_西甲联赛_巴拉多利德 vs 赫罗纳_李霄,https://migu1.188766.xyz/play?migutoken=a308d7048ca22f8fe6cc3302c92f019b&id=mzk71aP9F7FwUOh4YOLuEPfquGO4Qowh7d38gYV6HhMtmxW90UQDvUPXFwR6k1jT8m%2F%2BHcAe3RqD%2B9C%2BLmPkNQFL8Qh5A%2FZ1Fga4oxtSLQks5STg3YeYtw8wG0ARljjsNlGiV%2B6XmPVkHhcvRfLkzI8%2FdlKMFeUssDdTG8%2FJD9Ddo5HqjzQaJXmBPVFjPlT7Vo65ttByg4e3Z4hOGv2L%2BA%3D%3D&name=1GlJ2l%2FjYIxDdyl9TsFq%2BCuDlrH0sJwN4r6TuHXH%2BdQEa%2FPXiMSBNMnn6Qz588wXQUJOdBGzzFdgRr8OJGep7z4lRZilWiX4tteXiSZ6BpQid7lK2d7kuZDhZEkRPbyE
[西甲]5月14日01:00_西甲联赛_巴拉多利德 vs 赫罗纳_李霄,https://migu1.188766.xyz/play?migutoken=c36896772d79fe56757be724c24b094d&id=OhXAx6UUn75MYq48pJOMrDd6fYQXMyGbswQYNS8vWqIeHA%2BIxD9JtApjj3pJwc2ymwr%2FKjTdj9iiGPAziXUBj3EoLhMrLhcig6XRwujxkJVNs2PaeOW0kOfFvv%2F53%2BI%2Bb80lwUqH0ECjlgFdbOpP87%2B7oyByoAd93uXi0g%2BPJxdx2pcO08RZv2daDyp3k3FhDmkRy%2BCo5HjCn46lKCeR0w%3D%3D&name=AVfDnbw8ffimX3bHNJvtnpeQq9T5vknzbC2a0gZH%2B438hxd%2BySiVYXMIf%2BuF2WFOjBykPi61qaYBt1%2Bzj1UeqFZJPoJt%2B65AgfH5NzS2f1geNvMXNNABzzIbv0FAR7Mw
[WTA]5月14日01:00_WTA罗马站1/4决赛第一日：保利尼、斯特恩斯晋级罗马站4强_保利尼、斯特恩斯晋级罗马站4强_清流播出,https://migu1.188766.xyz/play?migutoken=9eb6108cccc3bb64e649b2c01ce7543b&id=5Mv8t8hNHIL2JMv5F6AcTOZL4pkM07HSy75kEqVbT03cKNBP3hQOn4CBr1nj7w7e6Zc%2FEfwsEnv%2BizPWKPO2%2FxVgw8uQMWfeSEEpCXrjNoQMajxjoru1O26%2BsbN5pRbQ4RsFneTtDeYnlSp46ka688rUApi8nxE1t%2FC0lFCFQl152IvbgMM1IDURamECU2dUsUcPslr0vSmvIQAyxKIMwQ%3D%3D&name=wjd7DP3XgSWPxLtxVzfekRT%2Bh9N2vVggBK%2B%2BmnJBWX%2FMxJi%2F6SnMk7s93LALCHPLIeEcvIEA%2BSLY54Z6RbX%2FvVhmIdOdzDiz19eDaLIjGM59G71zS1t8TrgDkSuEtLDOJ4ZarT6GhHNT9340bTREmLnccqGyCvzmuHp%2F1n3cFCYuBxmhThjXowJdobG8JiDDLJaHTjTbPXhZ%2F9dr7D%2B02ivUNZ%2F9irhQrlnQWC9N4sg%3D
[西甲]5月14日02:00_西甲联赛_皇家社会 vs 塞尔塔_张天翼,https://migu1.188766.xyz/play?migutoken=3008474662ed6825c5c0676528e15e02&id=VZFSXVXaykuB%2B2Jwl0by4QarPQ%2FXa1QxWmGhn6LfViaslXQEy7XU5HE6wh39%2BC9tS2oB9Uy5mnHScDs0aD8xf4nqAcEKpijExJg8NRbBVwTQzKuwQRMUy5MSCcUgpYHN0jx3PgVmMK5T70lISVDw%2B3yMB7jCOPWYoSEfYET0%2BAlalQatMu3t2WdeImFod6%2BMaFrRxtNp73AZNm5B3JcHIQ%3D%3D&name=GIZ%2FTAdxWFmvBBER11wy8HPz4sC6mLGUb9Top1RVhVlaHivpO7kh%2BX1LfHkUWAx1TUdTHrk%2FOZ2kZINZr4mspj3dDZNQ9WsnTHaRfPVtjQAhwgIDcq0%2FHE7R8X%2Bu0TRl
[西甲]5月14日03:30_西甲联赛_塞维利亚 vs 拉斯帕尔马斯_李霄,https://migu1.188766.xyz/play?migutoken=688bb7386be457a9f5de7007c35d2530&id=fVTKXgzhLaqYwolbjVVRRjUFPbaiRRU%2BWgfdwCd50VaEbiL1tyF3HCQQosYaBOluTbKi9S4FR7aC161XvhjLN4x8ylqdO5DUMer%2FFWwwGrdu5zYm7JcYPFRd3AjeR8iaJvP%2FxicbAf%2FsmDnhs%2BHT3qccncgYGStQZNTEfp7ltmBz5twrBUSiguibg%2FwoiBf9yeauCyAydHwGSde%2BCtsvAA%3D%3D&name=42r06QYqFBPRcGcK8s%2BdXaBV8GMts%2FYDJtQ%2BQZjW4BA9Crh340Gg2vNgb2ZESjVGkIENizPMhyujslkU%2B0iqJUJnfs2Mr%2BgtPRsCS5GKfyKUjy4pH4LQc4B1mZ1FaYzD
[NBA]5月14日07:00_NBA季后赛_步行者VS骑士_孙博 季孟年 裴优,https://migu1.188766.xyz/play?migutoken=b6314fc906dc6643db9e2e60d40ee888&id=vBAoPWgp4FV1OG%2BSxO%2FvRKg%2FKgPbqkxehWzGwrF6CwBLkFXE1SZ47bxEk66wtMusOTHjGREbtqyhQWOS%2B279AA0kVZOZTfrdma%2FJj9jX73lh%2FJqii2HRUwvROdUI4G8pKWzniCJ96pMXYdGDjrVnl9yxOrWivb7sX6%2B%2Bji%2B%2BNQM4X8LXmhdi3fvuvS05aGX4xSvHEAZINeOl%2Fdqk4T5jtg%3D%3D&name=MSg1T5Z13p%2BBMwkQMkBxGN1EtKt5g%2FVtF4CC7QQsJSEAZxrsmN4d93%2BgkMQDN1nSKHKEXp1QKuvmhGh0kF1wm8iJWM%2FM2jhKMNt7oE3B2AO33yBVQv6dAEKdoYIfrzVs
[NBA]5月14日07:00_NBA季后赛_步行者VS骑士_英文原声,https://migu1.188766.xyz/play?migutoken=b6c234b4ce1dade080e87f2d5571f047&id=IaTToV%2BaObsESdbYkpD1Gegh7gwwC9oTIWD4zVHG8McgXr%2F3%2Bwn1url0DjxBTgxR0s7ZbXxOLZJgRZAoZjIcSyTUXU9nFfeLJVG%2BiTiQupzR4%2Bcxj66Od%2F%2FTejGjYe3hUn8gxZ2KTIPrpg%2BXw%2F%2FNrqe82lspKR5ocBbZEfTUkJom%2Bz2%2Bmo%2B%2BABvHP7UW5MWLYcypF31utmnSlGjLuAl2qw%3D%3D&name=%2F%2FVrlG0gGzfXPOlH07vJL2V5CZwHZHwDHsCZOIy80JjzmNOarbXcWmCACUyyOUhfsF8rDz7AIaBymlQFwY49EgH8%2FPVTJ9wuXNmiX62Bjw4%3D
